b;Coupe min
2;6
3;6
4;6
5;6
2;9
3;9
4;8
5;9
2;0
3;0
4;0
5;0
2;3
3;3
4;3
5;3
2;0
3;0
4;0
5;0
2;16
3;16
4;16
5;15
2;16
3;15
4;13
5;16
2;17
3;8
4;6
5;6
2;3
3;2
4;3
5;3
2;7
3;9
4;7
5;7
2;10
3;9
4;6
5;6
2;20
3;20
4;20
5;19
2;2
3;2
4;2
5;2
2;4
3;3
4;3
5;4
2;4
3;4
4;3
5;3
2;3
3;2
4;3
5;2
2;1
3;1
4;1
5;1
2;17
3;17
4;17
5;17
2;8
3;8
4;10
5;7
2;11
3;10
4;11
5;10
2;0
3;0
4;0
5;0
2;18
3;17
4;16
5;18
2;0
3;0
4;0
5;0
2;0
3;0
4;0
5;0
2;9
3;4
4;8
5;4
2;37
3;18
4;18
5;18
2;9
3;8
4;10
5;7
2;18
3;13
4;11
5;11
2;3
3;3
4;3
5;3
2;2
3;1
4;3
5;1
2;2
3;2
4;4
5;2
2;9
3;5
4;6
5;5
2;0
3;0
4;0
5;0
2;0
3;0
4;0
5;0
2;0
3;0
4;0
5;0
2;34
3;14
4;13
5;14
2;12
3;13
4;11
5;11
2;2
3;3
4;2
5;3
2;5
3;3
4;3
5;3
2;2
3;2
4;2
5;2
2;14
3;18
4;12
5;14
2;9
3;9
4;9
5;9
2;0
3;0
4;0
5;0
2;10
3;6
4;6
5;6
2;14
3;13
4;13
5;13
2;15
3;12
4;12
5;11
2;4
3;3
4;2
5;2
2;21
3;19
4;19
5;19
2;3
3;2
4;2
5;3
2;0
3;0
4;0
5;0
2;9
3;7
4;7
5;7
2;19
3;19
4;18
5;17
2;7
3;7
4;6
5;6
2;8
3;8
4;8
5;8
2;10
3;9
4;9
5;9
2;9
3;9
4;9
5;9
2;0
3;0
4;0
5;0
2;50
3;17
4;16
5;16
2;0
3;0
4;0
5;0
2;36
3;14
4;14
5;13
2;0
3;0
4;0
5;0
2;22
3;9
4;10
5;10
2;17
3;10
4;10
5;10
2;10
3;22
4;8
5;8
2;0
3;0
4;0
5;0
2;1
3;1
4;1
5;1
2;0
3;0
4;0
5;0
2;0
3;0
4;0
5;0
2;11
3;3
4;3
5;5
2;0
3;0
4;0
5;0
2;8
3;9
4;7
5;8
2;0
3;0
4;0
5;0
2;2
3;2
4;2
5;2
2;0
3;0
4;0
5;0
2;15
3;15
4;6
5;6
2;25
3;13
4;8
5;8
2;16
3;16
4;16
5;16
2;1
3;1
4;1
5;1
2;2
3;2
4;2
5;2
2;1
3;1
4;1
5;1
2;12
3;10
4;14
5;9
2;3
3;3
4;3
5;3
2;16
3;9
4;9
5;8
2;20
3;14
4;14
5;15
2;8
3;7
4;7
5;8
2;7
3;7
4;6
5;6
2;10
3;10
4;10
5;10
2;0
3;0
4;0
5;0
2;5
3;9
4;5
5;5
2;3
3;3
4;1
5;1
2;1
3;1
4;1
5;1
2;4
3;2
4;2
5;2
2;13
3;11
4;11
5;10
2;20
3;18
4;18
5;19
2;15
3;15
4;13
5;13
2;1
3;1
4;1
5;1
2;9
3;9
4;9
5;9
2;0
3;0
4;0
5;0
2;0
3;0
4;0
5;0
2;6
3;7
4;5
5;5
